name,score,genre1,genre2,genre3,duration,release,rating,country,language,sound,color,ratio,budget,gross
Cadena perpetua,9.3,Drama,#N/A,#N/A,142,24 February 1995,13,USA,English,Dolby Digital,Color,1.85 : 1,"$25,000,000","$28,817,291"
El padrino,9.2,Crime,Drama,#N/A,175,20 October 1972,18,USA,English,DTS|Mono,Color,1.85 : 1,"$6,000,000","$246,120,986"
El padrino: Parte II,9.0,Crime,Drama,#N/A,202,13 October 1975,18,USA,English,Mono,Color,1.85 : 1,"$13,000,000","$48,035,783"
El caballero oscuro,9.0,Action,Crime,Drama,152,13 August 2008,12,USA,English,Dolby Digital|SDDS|DTS|IMAX 6-Track,Color,2.39 : 1,"$185,000,000","$1,005,973,645"
12 hombres sin piedad,9.0,Crime,Drama,#N/A,96,10 April 1957,A,USA,English,Mono,Black and White,1.66 : 1,"$350,000",$955
La lista de Schindler,8.9,Biography,Drama,History,195,4 March 1994,12,USA,English,DTS|DTS-Stereo|Dolby Atmos,Black and White,1.33 : 1,"$22,000,000","$322,161,245"
El señor de los anillos: El retorno del rey,8.9,Action,Adventure,Drama,201,17 December 2003,12,New Zealand,English,DTS-ES|Dolby Digital EX|SDDS|Dolby Atmos,Color,2.39 : 1,"$94,000,000","$1,142,563,940"
Pulp Fiction,8.9,Crime,Drama,#N/A,154,13 January 1995,18,USA,English,Dolby Digital,Color,2.39 : 1,"$8,000,000","$213,928,762"
"El bueno, el feo y el malo",8.8,Western,#N/A,#N/A,161,7 August 1968,13,Italy,Italian,Mono|Dolby Digital,Color,2.35 : 1,"$1,200,000","$25,253,751"
El señor de los anillos: La comunidad del anillo,8.8,Action,Adventure,Drama,178,19 December 2001,12,New Zealand,English,DTS|Dolby Digital EX|SDDS|Dolby Atmos,Color,2.39 : 1,"$93,000,000","$888,398,501"
El club de la lucha,8.8,Drama,#N/A,#N/A,139,5 November 1999,18,Germany,English,Dolby Digital|DTS|SDDS,Color,2.39 : 1,"$63,000,000","$101,209,593"
Forrest Gump,8.8,Drama,Romance,#N/A,142,23 September 1994,A,USA,English,DTS|Dolby SR|SDDS|Dolby Atmos|Dolby Digital,Color,2.39 : 1,"$55,000,000","$678,226,133"
Origen,8.8,Action,Adventure,Sci-Fi,148,6 August 2010,12,USA,English,Dolby Digital|DTS|SDDS,Color,2.39 : 1,"$160,000,000","$836,836,967"
El señor de los anillos: Las dos torres,8.7,Action,Adventure,Drama,179,18 December 2002,12,New Zealand,English,DTS-ES|Dolby Digital EX|SDDS|Dolby Atmos,Color,2.39 : 1,"$94,000,000","$943,495,095"
El Imperio contraataca,8.7,Action,Adventure,Fantasy,124,3 October 1980,A,USA,English,70 mm 6-Track|Dolby Stereo|Dolby Digital EX|DTS-ES|Dolby Atmos,Color,2.20 : 1,"$18,000,000","$538,375,067"
Matrix,8.7,Action,Sci-Fi,#N/A,136,23 June 1999,18,USA,English,DTS|Dolby Digital|SDDS|Dolby Atmos,Color,2.39 : 1,"$63,000,000","$466,364,845"
Uno de los nuestros,8.7,Biography,Crime,Drama,146,19 October 1990,18,USA,English,Dolby SR,Color,1.85 : 1,"$25,000,000","$46,952,991"
Alguien voló sobre el nido del cuco,8.7,Drama,#N/A,#N/A,133,7 October 1976,18,USA,English,Mono,Color,1.85 : 1,"$3,000,000","$108,997,629"
Los siete samuráis,8.6,Action,Adventure,Drama,207,26 April 1954,A,Japan,Japanese,Mono|Stereo,Black and White,1.33 : 1,"JPY125,000,000","$322,773"
Seven,8.6,Crime,Drama,Mystery,127,10 January 1996,18,USA,English,DTS|Dolby Digital,Color,2.39 : 1,"$33,000,000","$327,333,559"
La vida es bella,8.6,Comedy,Drama,Romance,116,26 February 1999,A,Italy,Italian,Dolby Digital,Color,1.85 : 1,"$20,000,000","$230,098,753"
Ciudad de Dios,8.6,Crime,Drama,#N/A,130,31 January 2003,18,Brazil,Portuguese,Dolby Digital|SDDS,Color,1.85 : 1,"BRL3,300,000","$30,680,793"
El silencio de los corderos,8.6,Crime,Drama,Thriller,118,6 September 1991,18,USA,English,Dolby Stereo,Color,1.85 : 1,"$19,000,000","$272,742,922"
¡Qué bello es vivir!,8.6,Drama,Family,Fantasy,130,7 January 1947,A,USA,English,Mono,Black and White,1.37 : 1,"$3,180,000","$6,184,298"
La guerra de las galaxias,8.6,Action,Adventure,Fantasy,121,7 November 1977,A,USA,English,70 mm 6-Track|Dolby Stereo|DTS-Stereo|Dolby Digital|Dolby Atmos|SDDS|Mono,Color,2.20 : 1,"$11,000,000","$775,398,007"
Salvar al soldado Ryan,8.6,Drama,War,#N/A,169,18 September 1998,13,USA,English,DTS|Dolby Digital|SDDS|Dolby Atmos,Color,1.85 : 1,"$70,000,000","$482,349,603"
La milla verde,8.6,Crime,Drama,Fantasy,189,18 February 2000,13,USA,English,DTS|Dolby Digital|SDDS,Color,1.85 : 1,"$60,000,000","$286,801,374"
El viaje de Chihiro,8.6,Animation,Adventure,Family,125,25 October 2002,A,Japan,Japanese,DTS-ES|Dolby Digital EX|Dolby Digital,Color,1.85 : 1,"$19,000,000","$355,475,917"
Interstellar,8.6,Adventure,Drama,Sci-Fi,169,7 November 2014,12,USA,English,Datasat|Dolby Digital|IMAX 6-Track|Dolby Surround 7.1|Sonics-DDP,Color,2.39 : 1,"$165,000,000","$701,729,127"
Parásitos,8.6,Comedy,Drama,Thriller,132,25 October 2019,16,South Korea,Korean,Dolby Atmos,Color,2.39 : 1,"$11,400,000","$258,821,977"
El profesional ,8.5,Action,Crime,Drama,110,6 April 1995,18,France,English,Dolby Digital|SDDS|Dolby|SDDS|DTS|Dolby Atmos,Color,2.39 : 1,"FRF115,000,000","$19,552,639"
Harakiri,8.6,Action,Drama,Mystery,133,16 September 1962,13,Japan,Japanese,Mono,Black and White,2.35 : 1,#N/A,"$15,222"
Sospechosos habituales,8.5,Crime,Mystery,Thriller,106,8 September 1995,18,USA,English,Dolby SR,Color,2.39 : 1,"$6,000,000","$23,341,568"
